,name,d4name,d4group,metric,split,val,exp,sizeorder,paper,convention
0,HellaSwag,hellaswag,,acc,dev,67.4,GPT3 (6.7B),5,GPT3,story_completion
1,HellaSwag,hellaswag,,acc,dev,70.9,GPT3 (13B),6,GPT3,story_completion
2,HellaSwag,hellaswag,,acc,dev,78.9,GPT3 (175B),7,GPT3,story_completion
3,LAMBADA,lambada,,acc,test,70.3,GPT3 (6.7B),5,GPT3,story_completion
4,LAMBADA,lambada,,acc,test,72.5,GPT3 (13B),6,GPT3,story_completion
5,LAMBADA,lambada,,acc,test,76.2,GPT3 (175B),7,GPT3,story_completion
6,LAMBADA,,,ppl,test,4.0,GPT3 (6.7B),5,GPT3,
7,LAMBADA,,,ppl,test,3.56,GPT3 (13B),6,GPT3,
8,LAMBADA,,,ppl,test,3.0,GPT3 (175B),7,GPT3,
9,StoryCloze,story_cloze,,acc,test,77.7,GPT3 (6.7B),5,GPT3,story_completion
10,StoryCloze,story_cloze,,acc,test,79.5,GPT3 (13B),6,GPT3,story_completion
11,StoryCloze,story_cloze,,acc,test,83.2,GPT3 (175B),7,GPT3,story_completion
12,NQs,nq,,acc,test,5.79,GPT3 (6.7B),5,GPT3,not found
13,NQs,nq,,acc,test,7.84,GPT3 (13B),6,GPT3,not found
14,NQs,nq,,acc,test,14.6,GPT3 (175B),7,GPT3,not found
15,TriviaQA,rc,,acc,dev,38.7,GPT3 (6.7B),5,GPT3,QA_closed_book
16,TriviaQA,rc,,acc,dev,41.8,GPT3 (13B),6,GPT3,QA_closed_book
17,TriviaQA,rc,,acc,dev,64.3,GPT3 (175B),7,GPT3,QA_closed_book
18,WebQs,,,acc,test,7.73,GPT3 (6.7B),5,GPT3,
19,WebQs,,,acc,test,8.22,GPT3 (13B),6,GPT3,
20,WebQs,,,acc,test,14.4,GPT3 (175B),7,GPT3,
21,Winograd,,,acc,test,85.7,GPT3 (6.7B),5,GPT3,
22,Winograd,,,acc,test,87.9,GPT3 (13B),6,GPT3,
23,Winograd,,,acc,test,88.3,GPT3 (175B),7,GPT3,
24,Winogrande,winogrande_xl,,acc,dev,64.5,GPT3 (6.7B),5,GPT3,coreference
25,Winogrande,winogrande_xl,,acc,dev,67.9,GPT3 (13B),6,GPT3,coreference
26,Winogrande,winogrande_xl,,acc,dev,70.2,GPT3 (175B),7,GPT3,coreference
27,PIQA,piqa,,acc,dev,78.0,GPT3 (6.7B),5,GPT3,QA_multiple_choice
28,PIQA,piqa,,acc,dev,78.5,GPT3 (13B),6,GPT3,QA_multiple_choice
29,PIQA,piqa,,acc,dev,81.0,GPT3 (175B),7,GPT3,QA_multiple_choice
30,ARC (Challenge),ARC_Challenge,,acc,test,41.4,GPT3 (6.7B),5,GPT3,QA_closed_book
31,ARC (Challenge),ARC_Challenge,,acc,test,43.7,GPT3 (13B),6,GPT3,QA_closed_book
32,ARC (Challenge),ARC_Challenge,,acc,test,51.4,GPT3 (175B),7,GPT3,QA_closed_book
33,ARC (Easy),ARC_Easy,,acc,test,60.2,GPT3 (6.7B),5,GPT3,QA_closed_book
34,ARC (Easy),ARC_Easy,,acc,test,63.8,GPT3 (13B),6,GPT3,QA_closed_book
35,ARC (Easy),ARC_Easy,,acc,test,68.8,GPT3 (175B),7,GPT3,QA_closed_book
36,OpenBookQA,,,acc,test,50.4,GPT3 (6.7B),5,GPT3,
37,OpenBookQA,,,acc,test,55.6,GPT3 (13B),6,GPT3,
38,OpenBookQA,,,acc,test,57.6,GPT3 (175B),7,GPT3,
39,Quac,quac,,f1,dev,36.1,GPT3 (6.7B),5,GPT3,QA_extractive
40,Quac,quac,,f1,dev,38.4,GPT3 (13B),6,GPT3,QA_extractive
41,Quac,quac,,f1,dev,41.5,GPT3 (175B),7,GPT3,QA_extractive
42,RACE-h,,,acc,test,44.1,GPT3 (6.7B),5,GPT3,
43,RACE-h,,,acc,test,44.6,GPT3 (13B),6,GPT3,
44,RACE-h,,,acc,test,45.5,GPT3 (175B),7,GPT3,
45,RACE-m,,,acc,test,54.4,GPT3 (6.7B),5,GPT3,
46,RACE-m,,,acc,test,56.7,GPT3 (13B),6,GPT3,
47,RACE-m,,,acc,test,58.4,GPT3 (175B),7,GPT3,
48,SQuADv2,squad_v2,,em,dev,45.4,GPT3 (6.7B),5,GPT3,QA_extractive
49,SQuADv2,squad_v2,,em,dev,49.0,GPT3 (13B),6,GPT3,QA_extractive
50,SQuADv2,squad_v2,,em,dev,52.6,GPT3 (175B),7,GPT3,QA_extractive
51,SQuADv2,squad_v2,,f1,dev,52.7,GPT3 (6.7B),5,GPT3,QA_extractive
52,SQuADv2,squad_v2,,f1,dev,56.3,GPT3 (13B),6,GPT3,QA_extractive
53,SQuADv2,squad_v2,,f1,dev,59.5,GPT3 (175B),7,GPT3,QA_extractive
54,CoQA,,,f1,dev,72.8,GPT3 (6.7B),5,GPT3,
55,CoQA,,,f1,dev,76.3,GPT3 (13B),6,GPT3,
56,CoQA,,,f1,dev,81.5,GPT3 (175B),7,GPT3,
57,DROP,,,f1,dev,17.0,GPT3 (6.7B),5,GPT3,
